id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"67cf03dac73b0c001ec47665","OCC-2503BS09342738",,"Ahuntsic-Cartierville","Travaux","Permis émis","2025-03-16T20:00:00Z","2025-10-17T19:59:59Z","Construction/rénovation sans excavation","Parthenais entre Sauriol et Parthenais","Entreprise","Groupe Geyser inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-03-13T00:01:30Z",-73.6491035974681,45.57199750800687
"684c1aa6608c140012af3ac5","OCC-2506LE10962180","1715250","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2025-06-18T20:00:00Z","2025-10-01T19:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Robert-Jurie entre Desautels et Arcand","Entrepreneur sous contrat avec la Ville de Montréal","NORDIKEAU INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2025-06-15T00:01:21Z",-73.54097515759221,45.58442574331901
"68ae04d52d0a57001270bfed","OCC-2508HU24027957",,"St-Laurent","Travaux","Permis émis","2025-09-01T20:00:00Z","2025-10-10T19:59:59Z","Autre","Bonin entre Gratton et Côte-Vertu","RTU (Réseau technique urbain) ou son sous-traitant
","Lanauco","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2025-08-30T00:01:54Z",-73.69075104876174,45.50643528761609
"68ae0ccc2d0a57001270c1b3","OCC-2508WX23900522",,"Ville-Marie","Travaux","Permis émis","2025-08-27T20:00:00Z","2025-10-17T19:59:59Z","Construction/rénovation sans excavation","Normand entre Marguerite-D'Youville et D'Youville","Organisation publique ou son sous-traitant","St-Denis Thompson","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-08-30T00:01:54Z",-73.5543758008307,45.49952805101221
"68ae163d3e1d540012f45ffe","OCC-2508AH23873347",,"Ville-Marie","Travaux","Permis émis","2025-08-31T20:00:00Z","2025-09-30T19:59:59Z","Construction/rénovation sans excavation","Port entre Commune et D'Youville",,,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-08-30T00:01:54Z",-73.5546484042546,45.50191065346858
"68ae4a193e1d540012f466ca","OCC-2508YX23815254",,"Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2025-08-28T20:00:00Z","2025-09-22T19:59:59Z","Entretien","Parc entre Beaumont et Parc","Organisation publique ou son sous-traitant","ENTREPRISE TECHLINE INC.","t","f","t","f","t","f","t","f","t","f","t","f","t","f","20:00","23:59","20:00","06:00","20:00","06:00","20:00","06:00","20:00","06:00","20:00","06:00","00:00","06:00","2025-08-30T00:01:54Z",-73.61962387844943,45.52954746874976
"68ae4b413e1d540012f466d5","OCC-2508JM23816477",,"Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2025-08-28T20:00:00Z","2025-09-22T19:59:59Z","Entretien","Parc entre Beaumont et Parc","Organisation publique ou son sous-traitant","ENTREPRISE TECHLINE INC.","t","f","t","f","t","f","t","f","t","f","t","f","t","f","20:00","23:59","20:00","06:00","20:00","06:00","20:00","06:00","20:00","06:00","20:00","06:00","00:00","06:00","2025-08-30T00:01:54Z",-73.61972939148541,45.52972175223543
"68aef4cb2d0a57001270c734","OCC-2508AU23919653",,"Le Sud-Ouest","Travaux","Permis émis","2025-09-07T20:00:00Z","2025-09-17T19:59:59Z","Construction/rénovation sans excavation","Lacasse entre Saint-Antoine et De Richelieu","Entreprise","Services Conseils CMP inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-08-30T00:01:54Z",-73.59182834057995,45.47740504450358
"68adbc4c3e1d540012f4469e","OCC-2508GR23874469",,"Ville-Marie","Travaux","Permis émis","2025-09-17T20:00:00Z","2025-10-18T19:59:59Z","Autre","Émery entre Sanguinet et Saint-Denis","Organisation publique ou son sous-traitant","SDC Quartier latin","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-08-30T00:01:54Z",-73.56375796871563,45.51456498313735
"68af20672d0a57001270d2f7","OCC-2508DL23906249","519504","Le Plateau-Mont-Royal","Travaux","Permis émis","2025-09-01T20:00:00Z","2025-11-03T18:59:59Z","Autre","Clark entre Pins et Saint-Cuthbert","Entrepreneur sous contrat avec la Ville de Montréal","Sanexen Services Environnementaux inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2025-08-30T00:01:54Z",-73.57715157620017,45.51524375887284
"68af52533e1d540012f4837d","OCC-2508QM23854479","1674120","Rosemont-La Petite-Patrie","Travaux","Permis émis","2025-09-14T20:00:00Z","2025-09-19T19:59:59Z","Égouts et aqueducs - Inspection et nettoyage","De Normanville entre Carrières et Rosemont","Entrepreneur sous contrat avec la Ville de Montréal","Pure Technologies Ltd.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2025-08-30T00:01:54Z",-73.59205449073572,45.535529814509495
"684b143650a031001dadd90d","OCC-2506ET10824364","1715250","Pierrefonds-Roxboro","Travaux","Permis émis","2025-06-17T20:00:00Z","2025-09-30T19:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Eastview entre Elmwood et Swallow","Entrepreneur sous contrat avec la Ville de Montréal","NORDIKEAU INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2025-06-15T00:01:21Z",-73.85369907121544,45.47866718910861
"68af552f3e1d540012f48555","OCC-2508PO23853442","1674120","Rosemont-La Petite-Patrie","Travaux","Permis émis","2025-09-14T20:00:00Z","2025-09-19T19:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Saint-Laurent entre Saint-Laurent et Henri-IV","Entrepreneur sous contrat avec la Ville de Montréal","Pure Technologies Ltd.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2025-08-30T00:01:54Z",-73.6053910865916,45.52874782060577
